scenario_id,tier,cell,validation,governance,latency_ms,tokens,correct,confidence,rubric_composite,n_detected,n_injected,validator_iterations,audit_intact,measured_latency_ms,measured_governance_ms,measured_worker_ms,measured_validator_ms,measured_policy_ms,measured_audit_ms,measured_redaction_ms,measured_queue_ms,n_true_positive,n_false_positive,n_claims,governed_events,anchored_workers,peer_bias_exposure,entities_redacted
L-000,low,Baseline,0,0,662.544,1132,0,0.5,0.16,0,1,0,1,1.595208,0.0,1.595208,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-001,low,Baseline,0,0,649.242,1109,0,0.5,0.16,0,1,0,1,1.415969,0.0,1.415969,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-002,low,Baseline,0,0,466.459,904,0,0.5,0.16,0,1,0,1,1.589959,0.0,1.589959,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-003,low,Baseline,0,0,597.593,866,0,0.5,0.19,0,1,0,1,1.501558,0.0,1.501558,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-004,low,Baseline,0,0,468.18,897,0,0.5,0.19,0,1,0,1,0.977372,0.0,0.977372,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-005,low,Baseline,0,0,670.289,1043,0,0.5,0.13,0,1,0,1,1.067778,0.0,1.067778,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-006,low,Baseline,0,0,637.796,1033,0,0.5,0.16,0,1,0,1,0.811514,0.0,0.811514,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-007,low,Baseline,0,0,536.83,936,0,0.5,0.22,0,1,0,1,0.647869,0.0,0.647869,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-008,low,Baseline,0,0,630.346,978,0,0.5,0.16,0,1,0,1,0.838044,0.0,0.838044,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-009,low,Baseline,0,0,670.27,1134,0,0.5,0.19,0,1,0,1,0.800438,0.0,0.800438,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
