scenario_id,tier,cell,delta_latency_ms,delta_tokens,z_latency,z_tokens,security_tax,band
H-000,high,Baseline,-9.866,-15.6,-1.0054,-1.0641,-1.0347,full-governance
H-001,high,Baseline,55.87,139.4,-0.9435,-0.7551,-0.8493,full-governance
H-002,high,Baseline,64.15,53.4,-0.9357,-0.9265,-0.9311,full-governance
H-003,high,Baseline,-102.53,-123.6,-1.0927,-1.2794,-1.186,full-governance
H-004,high,Baseline,-37.575,86.4,-1.0315,-0.8607,-0.9461,full-governance
H-005,high,Baseline,32.845,34.4,-0.9652,-0.9644,-0.9648,full-governance
H-006,high,Baseline,-13.116,-141.6,-1.0085,-1.3152,-1.1619,full-governance
H-007,high,Baseline,148.194,101.4,-0.8566,-0.8308,-0.8437,full-governance
H-008,high,Baseline,-106.761,-78.6,-1.0967,-1.1897,-1.1432,full-governance
H-009,high,Baseline,9.738,71.4,-0.987,-0.8906,-0.9388,full-governance
H-010,high,Baseline,-98.242,-130.6,-1.0887,-1.2933,-1.191,full-governance
H-011,high,Baseline,-110.338,-122.6,-1.1,-1.2774,-1.1887,full-governance
H-012,high,Baseline,-8.831,-3.6,-1.0044,-1.0401,-1.0223,full-governance
H-013,high,Baseline,24.072,55.4,-0.9735,-0.9225,-0.948,full-governance
H-014,high,Baseline,82.039,38.4,-0.9189,-0.9564,-0.9376,full-governance
H-015,high,Baseline,-239.877,-224.6,-1.2221,-1.4807,-1.3514,full-governance
H-016,high,Baseline,-84.249,-135.6,-1.0755,-1.3033,-1.1894,full-governance
H-017,high,Baseline,100.514,104.4,-0.9015,-0.8249,-0.8632,full-governance
H-018,high,Baseline,120.638,210.4,-0.8825,-0.6135,-0.748,full-governance
H-019,high,Baseline,-75.895,-64.6,-1.0676,-1.1617,-1.1147,full-governance
H-020,high,Baseline,-10.672,-161.6,-1.0062,-1.3551,-1.1806,full-governance
H-021,high,Baseline,1.478,131.4,-0.9947,-0.771,-0.8829,full-governance
H-022,high,Baseline,111.8,-33.6,-0.8908,-1.1,-0.9954,full-governance
H-023,high,Baseline,-27.682,-151.6,-1.0222,-1.3352,-1.1787,full-governance
H-024,high,Baseline,84.091,149.4,-0.9169,-0.7351,-0.826,full-governance
H-025,high,Baseline,-80.609,-126.6,-1.0721,-1.2853,-1.1787,full-governance
H-026,high,Baseline,-5.511,-63.6,-1.0013,-1.1598,-1.0805,full-governance
H-027,high,Baseline,29.889,-19.6,-0.968,-1.072,-1.02,full-governance
H-028,high,Baseline,18.772,-3.6,-0.9785,-1.0401,-1.0093,full-governance
H-029,high,Baseline,66.332,30.4,-0.9337,-0.9724,-0.953,full-governance
H-030,high,Baseline,-128.522,-28.6,-1.1172,-1.09,-1.1036,full-governance
H-031,high,Baseline,-129.728,-62.6,-1.1183,-1.1578,-1.138,full-governance
