scenario_id,tier,cell,validation,governance,latency_ms,tokens,correct,confidence,rubric_composite,n_detected,n_injected,validator_iterations,audit_intact,measured_latency_ms,measured_governance_ms,measured_worker_ms,measured_validator_ms,measured_policy_ms,measured_audit_ms,measured_redaction_ms,measured_queue_ms,n_true_positive,n_false_positive,n_claims,governed_events,anchored_workers,peer_bias_exposure,entities_redacted
L-000,low,Baseline,0,0,3826.232,1307,0,0.5,0.16,0,1,0,1,3827.404579,0.0,3827.404579,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-001,low,Baseline,0,0,3104.148,1356,0,0.5,0.16,0,1,0,1,3105.056982,0.0,3105.056982,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-002,low,Baseline,0,0,3045.313,1300,0,0.5,0.16,0,1,0,1,3051.875412,0.0,3051.875412,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-003,low,Baseline,0,0,4390.055,1413,0,0.5,0.19,0,1,0,1,4409.422926,0.0,4409.422926,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-004,low,Baseline,0,0,2883.917,1419,0,0.5,0.19,0,1,0,1,2928.51273,0.0,2928.51273,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-005,low,Baseline,0,0,4181.499,1347,0,0.5,0.13,0,1,0,1,4182.415349,0.0,4182.415349,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-006,low,Baseline,0,0,2573.251,1187,0,0.5,0.16,0,1,0,1,2577.508891,0.0,2577.508891,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-007,low,Baseline,0,0,3097.833,1412,0,0.5,0.22,0,1,0,1,3098.680418,0.0,3098.680418,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-008,low,Baseline,0,0,3311.717,1276,0,0.5,0.16,0,1,0,1,3319.18315,0.0,3319.18315,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-009,low,Baseline,0,0,2729.64,1280,0,0.5,0.19,0,1,0,1,2732.910813,0.0,2732.910813,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-010,low,Baseline,0,0,3038.569,1359,0,0.5,0.19,0,1,0,1,3045.212296,0.0,3045.212296,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-011,low,Baseline,0,0,3852.661,1240,0,0.5,0.19,0,1,0,1,3854.24447,0.0,3854.24447,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-012,low,Baseline,0,0,3040.318,1408,0,0.5,0.1,0,1,0,1,3042.932621,0.0,3042.932621,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-013,low,Baseline,0,0,2911.569,1325,0,0.5,0.19,0,1,0,1,2913.884938,0.0,2913.884938,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-014,low,Baseline,0,0,4806.85,1414,0,0.5,0.22,0,1,0,1,4812.639929,0.0,4812.639929,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-015,low,Baseline,0,0,2699.339,1323,0,0.5,0.22,0,1,0,1,2703.123593,0.0,2703.123593,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-016,low,Baseline,0,0,2950.639,1282,0,0.5,0.16,0,1,0,1,2953.562782,0.0,2953.562782,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-017,low,Baseline,0,0,3478.759,1037,0,0.5,0.16,0,1,0,1,3485.219737,0.0,3485.219737,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-018,low,Baseline,0,0,2915.486,1358,0,0.5,0.19,0,1,0,1,2923.075394,0.0,2923.075394,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-019,low,Baseline,0,0,2710.775,1328,0,0.5,0.16,0,1,0,1,2711.755192,0.0,2711.755192,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-020,low,Baseline,0,0,4571.12,1263,0,0.5,0.22,0,1,0,1,4578.661355,0.0,4578.661355,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-021,low,Baseline,0,0,3668.575,1310,0,0.5,0.16,0,1,0,1,3679.604349,0.0,3679.604349,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-022,low,Baseline,0,0,2731.236,1377,0,0.5,0.16,0,1,0,1,2737.886704,0.0,2737.886704,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-023,low,Baseline,0,0,4086.981,1277,0,0.5,0.19,0,1,0,1,4089.894307,0.0,4089.894307,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-024,low,Baseline,0,0,2950.766,1324,0,0.5,0.19,0,1,0,1,2956.220228,0.0,2956.220228,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-025,low,Baseline,0,0,3105.626,1417,0,0.5,0.16,0,1,0,1,3128.830288,0.0,3128.830288,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-026,low,Baseline,0,0,2817.129,1325,0,0.5,0.16,0,1,0,1,2820.11681,0.0,2820.11681,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-027,low,Baseline,0,0,3248.05,1396,0,0.5,0.19,0,1,0,1,3250.887052,0.0,3250.887052,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-028,low,Baseline,0,0,3466.913,1318,0,0.5,0.16,0,1,0,1,3476.334393,0.0,3476.334393,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-029,low,Baseline,0,0,4337.502,1407,0,0.5,0.16,0,1,0,1,4344.24036,0.0,4344.24036,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-030,low,Baseline,0,0,2850.504,1266,0,0.5,0.16,0,1,0,1,2852.56574,0.0,2852.56574,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-031,low,Baseline,0,0,2940.476,1326,0,0.5,0.19,0,1,0,1,2970.500394,0.0,2970.500394,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-032,low,Baseline,0,0,2888.685,1250,0,0.5,0.22,0,1,0,1,2891.574913,0.0,2891.574913,0.0,0.0,0.0,0.0,0.0,0,0,5,0,2,9,0
L-033,low,Baseline,0,0,2555.912,1241,0,0.5,0.19,0,1,0,1,2557.061957,0.0,2557.061957,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-034,low,Baseline,0,0,2849.461,1330,0,0.5,0.19,0,1,0,1,2850.620715,0.0,2850.620715,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-035,low,Baseline,0,0,2850.031,1368,0,0.5,0.19,0,1,0,1,2853.095433,0.0,2853.095433,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-036,low,Baseline,0,0,3830.391,1302,0,0.5,0.19,0,1,0,1,3833.922885,0.0,3833.922885,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-037,low,Baseline,0,0,2861.935,1282,0,0.5,0.19,0,1,0,1,2867.754285,0.0,2867.754285,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-038,low,Baseline,0,0,4939.577,1295,0,0.5,0.13,0,1,0,1,4943.92353,0.0,4943.92353,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-039,low,Baseline,0,0,2824.621,1325,0,0.5,0.19,0,1,0,1,2827.916894,0.0,2827.916894,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
