scenario_id,tier,cell,delta_latency_ms,delta_tokens,z_latency,z_tokens,security_tax,band
H-000,high,Baseline,1298.321,70.8,-0.7631,-0.9449,-0.854,full-governance
H-001,high,Baseline,432.119,10.8,-0.9171,-1.0151,-0.9661,full-governance
H-002,high,Baseline,-421.328,-184.2,-1.0689,-1.2431,-1.156,full-governance
H-003,high,Baseline,503.251,-64.2,-0.9045,-1.1028,-1.0036,full-governance
H-004,high,Baseline,-489.275,15.8,-1.081,-1.0092,-1.0451,full-governance
H-005,high,Baseline,-534.426,75.8,-1.089,-0.9391,-1.014,full-governance
H-006,high,Baseline,330.817,74.8,-0.9351,-0.9402,-0.9377,full-governance
H-007,high,Baseline,-9.412,11.8,-0.9956,-1.0139,-1.0048,full-governance
H-008,high,Baseline,-400.112,70.8,-1.0651,-0.9449,-1.005,full-governance
H-009,high,Baseline,-373.596,38.8,-1.0604,-0.9823,-1.0214,full-governance
H-010,high,Baseline,-81.817,62.8,-1.0085,-0.9543,-0.9814,full-governance
H-011,high,Baseline,-428.956,61.8,-1.0703,-0.9554,-1.0128,full-governance
H-012,high,Baseline,-577.126,70.8,-1.0966,-0.9449,-1.0208,full-governance
H-013,high,Baseline,996.448,-11.2,-0.8168,-1.0408,-0.9288,full-governance
H-014,high,Baseline,-23.247,-37.2,-0.9981,-1.0712,-1.0347,full-governance
H-015,high,Baseline,399.758,-6.2,-0.9229,-1.035,-0.9789,full-governance
H-016,high,Baseline,948.65,36.8,-0.8253,-0.9847,-0.905,full-governance
H-017,high,Baseline,360.886,-35.2,-0.9298,-1.0689,-0.9993,full-governance
H-018,high,Baseline,-430.891,18.8,-1.0706,-1.0057,-1.0382,full-governance
H-019,high,Baseline,-705.625,-98.2,-1.1195,-1.1426,-1.131,full-governance
H-020,high,Baseline,-706.742,7.8,-1.1197,-1.0186,-1.0691,full-governance
H-021,high,Baseline,-337.33,57.8,-1.054,-0.9601,-1.007,full-governance
H-022,high,Baseline,-687.795,-204.2,-1.1163,-1.2665,-1.1914,full-governance
H-023,high,Baseline,-170.572,45.8,-1.0243,-0.9742,-0.9992,full-governance
H-024,high,Baseline,-717.387,9.8,-1.1216,-1.0163,-1.0689,full-governance
H-025,high,Baseline,-218.829,-16.2,-1.0329,-1.0467,-1.0398,full-governance
H-026,high,Baseline,-229.742,57.8,-1.0348,-0.9601,-0.9975,full-governance
H-027,high,Baseline,-256.855,-12.2,-1.0397,-1.042,-1.0408,full-governance
H-028,high,Baseline,-303.342,26.8,-1.0479,-0.9964,-1.0221,full-governance
H-029,high,Baseline,-271.63,22.8,-1.0423,-1.001,-1.0217,full-governance
H-030,high,Baseline,-373.075,53.8,-1.0603,-0.9648,-1.0126,full-governance
H-031,high,Baseline,-71.005,-24.2,-1.0066,-1.056,-1.0313,full-governance
H-032,high,Baseline,64.277,-9.2,-0.9825,-1.0385,-1.0105,full-governance
H-033,high,Baseline,250.881,-57.2,-0.9494,-1.0946,-1.022,full-governance
H-034,high,Baseline,192.669,-133.2,-0.9597,-1.1835,-1.0716,full-governance
H-035,high,Baseline,94.139,25.8,-0.9772,-0.9975,-0.9874,full-governance
H-036,high,Baseline,-405.033,0.8,-1.066,-1.0268,-1.0464,full-governance
H-037,high,Baseline,-733.938,-101.2,-1.1245,-1.1461,-1.1353,full-governance
H-038,high,Baseline,497.069,24.8,-0.9056,-0.9987,-0.9521,full-governance
H-039,high,Baseline,534.344,-75.2,-0.8989,-1.1157,-1.0073,full-governance
H-040,high,Baseline,2440.327,30.8,-0.56,-0.9917,-0.7758,full-governance
H-041,high,Baseline,222.705,61.8,-0.9544,-0.9554,-0.9549,full-governance
H-042,high,Baseline,1091.123,-17.2,-0.7999,-1.0478,-0.9239,full-governance
H-043,high,Baseline,-249.401,-11.2,-1.0383,-1.0408,-1.0396,full-governance
H-044,high,Baseline,-449.319,52.8,-1.0739,-0.966,-1.0199,full-governance
H-000,high,V-only,13393.974,1738.8,1.388,1.0059,1.197,adaptive-governance
H-001,high,V-only,9943.158,1690.8,0.7743,0.9498,0.862,adaptive-governance
H-002,high,V-only,16232.286,1592.8,1.8928,0.8351,1.364,adaptive-governance
H-003,high,V-only,12767.486,1565.8,1.2766,0.8036,1.0401,adaptive-governance
H-004,high,V-only,8884.071,1687.8,0.586,0.9462,0.7661,adaptive-governance
H-005,high,V-only,12259.064,1690.8,1.1862,0.9498,1.068,adaptive-governance
H-006,high,V-only,10444.324,1744.8,0.8635,1.0129,0.9382,adaptive-governance
H-007,high,V-only,11700.288,1644.8,1.0868,0.896,0.9914,adaptive-governance
H-008,high,V-only,11674.53,1710.8,1.0822,0.9731,1.0277,adaptive-governance
H-009,high,V-only,12851.881,1727.8,1.2916,0.993,1.1423,adaptive-governance
H-010,high,V-only,9876.368,1708.8,0.7625,0.9708,0.8666,adaptive-governance
H-011,high,V-only,12148.775,1635.8,1.1666,0.8854,1.026,adaptive-governance
H-012,high,V-only,10808.351,1672.8,0.9282,0.9287,0.9285,adaptive-governance
H-013,high,V-only,11545.749,1572.8,1.0593,0.8118,0.9355,adaptive-governance
H-014,high,V-only,11432.961,1639.8,1.0393,0.8901,0.9647,adaptive-governance
H-015,high,V-only,10306.873,1690.8,0.839,0.9498,0.8944,adaptive-governance
H-016,high,V-only,11030.976,1655.8,0.9678,0.9088,0.9383,adaptive-governance
H-017,high,V-only,13874.828,1594.8,1.4736,0.8375,1.1555,adaptive-governance
H-018,high,V-only,9147.1,1719.8,0.6328,0.9837,0.8082,adaptive-governance
H-019,high,V-only,9383.015,1610.8,0.6747,0.8562,0.7655,adaptive-governance
H-020,high,V-only,11306.563,1754.8,1.0168,1.0246,1.0207,adaptive-governance
H-021,high,V-only,10143.758,1696.8,0.81,0.9568,0.8834,adaptive-governance
H-022,high,V-only,9071.408,1693.8,0.6193,0.9533,0.7863,adaptive-governance
H-023,high,V-only,8939.803,1636.8,0.5959,0.8866,0.7413,adaptive-governance
H-024,high,V-only,9478.143,1716.8,0.6916,0.9802,0.8359,adaptive-governance
H-025,high,V-only,10721.638,1599.8,0.9128,0.8433,0.8781,adaptive-governance
H-026,high,V-only,10752.478,1705.8,0.9183,0.9673,0.9428,adaptive-governance
H-027,high,V-only,9103.378,1455.8,0.625,0.6749,0.65,adaptive-governance
H-028,high,V-only,9509.278,1693.8,0.6972,0.9533,0.8252,adaptive-governance
H-029,high,V-only,8902.523,1685.8,0.5893,0.9439,0.7666,adaptive-governance
H-030,high,V-only,8932.248,1591.8,0.5946,0.834,0.7143,adaptive-governance
H-031,high,V-only,11267.555,1594.8,1.0099,0.8375,0.9237,adaptive-governance
H-032,high,V-only,9529.31,1701.8,0.7007,0.9626,0.8317,adaptive-governance
H-033,high,V-only,11148.287,1507.8,0.9887,0.7357,0.8622,adaptive-governance
H-034,high,V-only,11709.14,1639.8,1.0884,0.8901,0.9893,adaptive-governance
H-035,high,V-only,10704.606,1683.8,0.9098,0.9416,0.9257,adaptive-governance
H-036,high,V-only,11800.781,1682.8,1.1047,0.9404,1.0226,adaptive-governance
H-037,high,V-only,10710.184,1666.8,0.9107,0.9217,0.9162,adaptive-governance
H-038,high,V-only,10593.443,1651.8,0.89,0.9041,0.8971,adaptive-governance
H-039,high,V-only,13380.798,1678.8,1.3857,0.9357,1.1607,adaptive-governance
H-040,high,V-only,11609.431,1751.8,1.0707,1.0211,1.0459,adaptive-governance
H-041,high,V-only,12777.964,1716.8,1.2785,0.9802,1.1293,adaptive-governance
H-042,high,V-only,10583.741,1636.8,0.8883,0.8866,0.8874,adaptive-governance
H-043,high,V-only,12577.208,1681.8,1.2428,0.9392,1.091,adaptive-governance
H-044,high,V-only,9961.178,1602.8,0.7775,0.8468,0.8122,adaptive-governance
H-000,high,G-only,1470.807,40.8,-0.7324,-0.98,-0.8562,full-governance
H-001,high,G-only,-284.453,134.8,-1.0446,-0.8701,-0.9573,full-governance
H-002,high,G-only,-546.11,-53.2,-1.0911,-1.0899,-1.0905,full-governance
H-003,high,G-only,732.292,133.8,-0.8637,-0.8712,-0.8675,full-governance
H-004,high,G-only,56.017,132.8,-0.984,-0.8724,-0.9282,full-governance
H-005,high,G-only,-331.794,153.8,-1.053,-0.8478,-0.9504,full-governance
H-006,high,G-only,-84.704,118.8,-1.009,-0.8888,-0.9489,full-governance
H-007,high,G-only,-150.893,101.8,-1.0208,-0.9087,-0.9647,full-governance
H-008,high,G-only,-506.624,13.8,-1.0841,-1.0116,-1.0478,full-governance
H-009,high,G-only,-162.714,105.8,-1.0229,-0.904,-0.9634,full-governance
H-010,high,G-only,-353.301,162.8,-1.0568,-0.8373,-0.9471,full-governance
H-011,high,G-only,-699.175,109.8,-1.1183,-0.8993,-1.0088,full-governance
H-012,high,G-only,-42.582,67.8,-1.0015,-0.9484,-0.975,full-governance
H-013,high,G-only,1913.732,77.8,-0.6536,-0.9367,-0.7952,full-governance
H-014,high,G-only,-21.701,109.8,-0.9978,-0.8993,-0.9486,full-governance
H-015,high,G-only,-342.82,41.8,-1.0549,-0.9788,-1.0169,full-governance
H-016,high,G-only,2545.786,76.8,-0.5412,-0.9379,-0.7396,full-governance
H-017,high,G-only,-440.985,45.8,-1.0724,-0.9742,-1.0233,full-governance
H-018,high,G-only,-70.871,129.8,-1.0066,-0.8759,-0.9412,full-governance
H-019,high,G-only,748.828,21.8,-0.8608,-1.0022,-0.9315,full-governance
H-020,high,G-only,-282.086,86.8,-1.0441,-0.9262,-0.9852,full-governance
H-021,high,G-only,-309.874,115.8,-1.0491,-0.8923,-0.9707,full-governance
H-022,high,G-only,344.029,86.8,-0.9328,-0.9262,-0.9295,full-governance
H-023,high,G-only,-336.036,32.8,-1.0537,-0.9894,-1.0215,full-governance
H-024,high,G-only,-66.427,106.8,-1.0058,-0.9028,-0.9543,full-governance
H-025,high,G-only,309.03,125.8,-0.939,-0.8806,-0.9098,full-governance
H-026,high,G-only,649.921,118.8,-0.8784,-0.8888,-0.8836,full-governance
H-027,high,G-only,-326.26,-30.2,-1.052,-1.063,-1.0575,full-governance
H-028,high,G-only,-731.119,-55.2,-1.124,-1.0923,-1.1081,full-governance
H-029,high,G-only,558.24,60.8,-0.8947,-0.9566,-0.9256,full-governance
H-030,high,G-only,952.498,100.8,-0.8246,-0.9098,-0.8672,full-governance
H-031,high,G-only,-10.952,-3.2,-0.9959,-1.0315,-1.0137,full-governance
H-032,high,G-only,798.386,39.8,-0.852,-0.9812,-0.9166,full-governance
H-033,high,G-only,-441.288,-113.2,-1.0725,-1.1601,-1.1163,full-governance
H-034,high,G-only,1663.595,103.8,-0.6981,-0.9063,-0.8022,full-governance
H-035,high,G-only,-472.61,-6.2,-1.078,-1.035,-1.0565,full-governance
H-036,high,G-only,815.207,-47.2,-0.849,-1.0829,-0.966,full-governance
H-037,high,G-only,-371.482,-13.2,-1.06,-1.0432,-1.0516,full-governance
H-038,high,G-only,-388.506,-49.2,-1.0631,-1.0853,-1.0742,full-governance
H-039,high,G-only,2315.716,83.8,-0.5821,-0.9297,-0.7559,full-governance
H-040,high,G-only,1586.471,117.8,-0.7118,-0.8899,-0.8009,full-governance
H-041,high,G-only,-285.676,55.8,-1.0448,-0.9625,-1.0036,full-governance
H-042,high,G-only,378.34,-67.2,-0.9267,-1.1063,-1.0165,full-governance
